time,source_file,source_ext,output_file,clean_name,matched_cover,match_score,action,status,message
2026/3/15 23:57,salo600-意大利反法西斯歌曲Bella_Ciao《-20260315222203-20260315222204.mp3,.mp3,salo600-意大利反法西斯歌曲Bella_Ciao《.m4a,salo600-意大利反法西斯歌曲Bella_Ciao《,封面-salo600-意大利反法西斯歌曲Bella_Ciao《-20260315222207-20260315222208.jpg,1.25,success,ok,
2026/3/15 23:57,seb塞巴-顶级品质试听《射杀恋人的那天》虽然不是叛-20260315225050-20260315225052.mp3,.mp3,seb塞巴-顶级品质试听《射杀恋人的那天》虽然不是叛.m4a,seb塞巴-顶级品质试听《射杀恋人的那天》虽然不是叛,封面-seb塞巴-顶级品质试听《射杀恋人的那天》虽然不是叛-20260315225050-20260315225054.jpg,1.25,success,ok,
2026/3/15 23:57,Sona_ソナ-Guiano_-_花_(feat_花谱)-20260315225814-20260315225816.mp3,.mp3,Sona_ソナ-Guiano_-_花_(feat_花谱).m4a,Sona_ソナ-Guiano_-_花_(feat_花谱),封面-Sona_ソナ-Guiano_-_花_(feat_花谱)-20260315225814-20260315225817.jpg,1.25,success,ok,
2026/3/15 23:57,Yuki_可依-_狂谬即美丽，惊艳到让你起鸡皮疙瘩！__-20260315225201-20260315225203.mp3,.mp3,Yuki_可依-_狂谬即美丽，惊艳到让你起鸡皮疙瘩！.m4a,Yuki_可依-_狂谬即美丽，惊艳到让你起鸡皮疙瘩！,封面-Yuki_可依-_狂谬即美丽，惊艳到让你起鸡皮疙瘩！__-20260315225201-20260315225205.jpg,1.25,success,ok,
2026/3/15 23:57,_逐晓-超带感的笼中鸟填词！辉夜听了也想抖腿【东-20260315230147-20260315230148.mp3,.mp3,逐晓-超带感的笼中鸟填词！辉夜听了也想抖腿【东.m4a,逐晓-超带感的笼中鸟填词！辉夜听了也想抖腿【东,封面-_逐晓-超带感的笼中鸟填词！辉夜听了也想抖腿【东-20260315230147-20260315230150.jpg,1.25,success,ok,
2026/3/15 23:57,あむぬeru-p_s___／_ナースロボ_タイプT-20260315222028-20260315222030.mp4,.mp4,あむぬeru-p_s___／_ナースロボ_タイプT.m4a,あむぬeru-p_s___／_ナースロボ_タイプT,封面-あむぬeru-p_s___／_ナースロボ_タイプT-20260315222032-20260315222033.jpg,1.25,success,ok,
2026/3/15 23:57,くらめ-【C80】雪月_-_ise_rala-20260315230134-20260315230135.mp3,.mp3,くらめ-【C80】雪月_-_ise_rala.m4a,くらめ-【C80】雪月_-_ise_rala,封面-くらめ-【C80】雪月_-_ise_rala-20260315230134-20260315230138.jpg,1.25,success,ok,
2026/3/15 23:57,とあ-【正式】【とあ】拼凑的断音【初音ミク】-20260315221938-20260315221940.mp4,.mp4,とあ-【正式】【とあ】拼凑的断音【初音ミク】.m4a,とあ-【正式】【とあ】拼凑的断音【初音ミク】,,0.1818,success,ok,
2026/3/15 23:58,一只爱听歌的梨-【Hi-Res无损】五音Jw《明月天涯》-20260315221654-20260315221656.mp4,.mp4,一只爱听歌的梨-【Hi-Res无损】五音Jw《明月天涯》.m4a,一只爱听歌的梨-【Hi-Res无损】五音Jw《明月天涯》,封面-一只爱听歌的梨-【Hi-Res无损】五音Jw《明月天涯》-20260315221654-20260315221657.jpg,1.25,success,ok,
2026/3/15 23:58,一只爱听歌的梨-【Hi-Res无损】平生不晚《难却》百听-20260315225356-20260315225358.mp3,.mp3,一只爱听歌的梨-【Hi-Res无损】平生不晚《难却》百听.m4a,一只爱听歌的梨-【Hi-Res无损】平生不晚《难却》百听,封面-一只爱听歌的梨-【Hi-Res无损】平生不晚《难却》百听-20260315225356-20260315225359.jpg,1.25,success,ok,
2026/3/15 23:58,一只爱听歌的梨-【Hi-Res无损】花粥_王胜娚《出山》-20260315222350-20260315222351.mp3,.mp3,一只爱听歌的梨-【Hi-Res无损】花粥_王胜娚《出山》.m4a,一只爱听歌的梨-【Hi-Res无损】花粥_王胜娚《出山》,封面-一只爱听歌的梨-【Hi-Res无损】花粥_王胜娚《出山》-20260315222350-20260315222353.jpg,1.25,success,ok,
2026/3/15 23:58,一只爱听歌的梨-【Hi-Res无损】花粥、马雨阳《盗将行-20260315225510-20260315225512.mp3,.mp3,一只爱听歌的梨-【Hi-Res无损】花粥、马雨阳《盗将行.m4a,一只爱听歌的梨-【Hi-Res无损】花粥、马雨阳《盗将行,封面-一只爱听歌的梨-【Hi-Res无损】花粥、马雨阳《盗将行-20260315225510-20260315225513.jpg,1.25,success,ok,
2026/3/15 23:58,一只爱听歌的梨-【无损音质】一只白羊《赐我》「赐我一场相-20260315225840-20260315225842.mp4,.mp4,一只爱听歌的梨-【无损音质】一只白羊《赐我》「赐我一场相.m4a,一只爱听歌的梨-【无损音质】一只白羊《赐我》「赐我一场相,封面-一只爱听歌的梨-【无损音质】一只白羊《赐我》「赐我一场相-20260315225840-20260315225843.jpg,1.25,success,ok,
2026/3/15 23:58,一只肥奶丸鸭-【■塔·铁墓】演唱的《Sis_puell-20260315222430-20260315222431.mp3,.mp3,一只肥奶丸鸭-【■塔·铁墓】演唱的《Sis_puell.m4a,一只肥奶丸鸭-【■塔·铁墓】演唱的《Sis_puell,封面-一只肥奶丸鸭-【■塔·铁墓】演唱的《Sis_puell-20260315222430-20260315222433.jpg,1.25,success,ok,
